Item,Mean,Var,Alpha,Beta,Params,Raw_Distrib,Discrete_Distrib,Sentence
153470:46,0.7588888888888888,0.06514320987654322,0.7794412639445263,0.3241818610925349,(0.7794412639445263  0.3241818610925349),[0.89  0.53  0.23  0.83  0.95  1.0  0.89  1.0  0.51],[0.         0.11111111 0.         0.22222222 0.         0.11111111 0.55555556],"so, we are on a schedule where i try every, uh, three or four years  to, to buy a new one ."
9650:26:00,0.35222222222222227,0.09275061728395062,0.6140018404922182,1.7976274318271543,(0.6140018404922182  1.7976274318271543),[0.17  0.0  0.32  0.7  0.05  0.44  0.09  0.97  0.43],[0.22222222 0.11111111 0.11111111 0.22222222 0.11111111 0. 0.11111111],"and i usually make time in my day or my week, you know,  to watch those."
123090:99,0.48777777777777775,0.10272839506172837,0.379964518235879,0.6160626737975403,(0.379964518235879  0.6160626737975403),[0.15  0.27  0.51  0.21  0.43  1.0  0.71  0.98  0.13],[0.11111111 0.33333333 0.         0.22222222 0.11111111 0. 0.22222222],"i think, uh, it 's in everyone's nature to some degree to want  to get out and explore something they haven't , or experience something, you know, indifferent."
27863:29,0.26111111111111107,0.07652098765432097,0.4228319790721834,0.3885432268606001,(0.4228319790721834  0.3885432268606001),[0.08  0.64  0.19  0.83  0.32  0.24  0.0  0.03  0.02],[0.33333333 0.22222222 0.11111111 0.         0.11111111 0.11111111 0.        ],"and i have, uh, returned about every four or five years to  thinking that i would like  to do something about it."
34018:36,0.3766666666666667,0.08222222222222221,0.7183758525192959,0.38896730950999997,(0.7183758525192959  0.38896730950999997),[0.48  0.11  0.4  0.86  0.85  0.16  0.23  0.03  0.27],[0.22222222 0.33333333 0.11111111 0.11111111 0.         0.11111111 0.11111111],"uh, my gun hasn't been shot  in a year or two."
104317:89,0.37333333333333335,0.03173333333333333,16.823936282443544,5153.794297245371,(16.823936282443544  5153.794297245371),[0.76  0.07  0.39  0.26  0.3  0.28  0.47  0.46  0.37],[0.11111111 0.22222222 0.33333333 0.22222222 0.         0.11111111 0.        ],"and, uh, it kind of makes me listen a little closer to, to the piano when i hear it at other places , or when i, you know, see some, see and hear someone playing ."
7486:45:00,0.38222222222222224,0.1271506172839506,0.3004066259545921,0.45964339612984356,(0.3004066259545921  0.45964339612984356),[0.91  0.63  0.12  0.48  0.15  0.0  0.97  0.02  0.16],[0.22222222 0.22222222 0.         0.11111111 0.11111111 0. 0.22222222],"they're real liberal now and to where probably fifty or a hundred years ago, um, the democrat party being liberal like they are now, you know, would never be thought of  ,"
138291:77,0.4266666666666667,0.09513333333333333,0.7827305326843605,0.8868952383416095,(0.7827305326843605  0.8868952383416095),[0.41  0.6  0.54  0.15  0.26  0.06  0.76  1.0  0.06],[0.22222222 0.22222222 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111],"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth"
132821:30,0.6455555555555555,0.07982469135802468,2.523190104503511,0.8828881915468761,(2.523190104503511  0.8828881915468761),[0.74  0.81  0.01  0.4  1.0  0.6  0.58  0.75  0.92],[0.11111111 0.         0.11111111 0.         0.22222222 0.33333333 0.22222222],"but, uh, it'll go up to fifty or sixty almost."
102122:39,0.43333333333333335,0.11913333333333334,0.4757941709078663,0.5954062216527746,(0.4757941709078663  0.5954062216527746),[0.0  0.09  0.09  0.87  0.38  0.79  0.38  0.99  0.31],[0.22222222 0.         0.33333333 0.         0.         0.11111111 0.22222222],"and, and drink wise they have kool-aid, milk or water but bot both. normally."
176653:15,0.7255555555555556,0.09238024691358022,1.3001882749301632,0.36246712036286494,(1.3001882749301632  0.36246712036286494),[0.96  0.52  0.79  0.8  0.98  0.02  0.98  0.52  0.96],[0.11111111 0.         0.         0.22222222 0.         0.22222222 0.44444444],"it was about four or five hundred square feet."
73690:19,0.4855555555555556,0.14342469135802471,0.5907620770922097,0.5283249104851107,(0.5907620770922097  0.5283249104851107),[0.07  0.87  0.98  0.98  0.0  0.0  0.46  0.44  0.57],[0.11111111 0.         0.         0.33333333 0.         0. 0.33333333],"i didn't want a brother or sister."
69146:19,0.4144444444444444,0.1530246913580247,0.22697395979143048,0.3195747455090946,(0.22697395979143048  0.3195747455090946),[0.0  0.3  0.37  0.18  1.0  0.86  0.01  0.05  0.96],[0.22222222 0.11111111 0.22222222 0.         0.         0. 0.33333333],"we've been two or three times and probably go back again this winter."
31526:59,0.68,0.10128888888888889,1.8997762490632955,0.7202646683226759,(1.8997762490632955  0.7202646683226759),[0.61  0.93  0.39  1.0  0.0  1.0  0.67  0.56  0.96],[0.         0.         0.11111111 0.11111111 0.22222222 0. 0.44444444],"i mean, you don't know whether the person sitting next to you anywhere is on drugs or not,"
17758:53,0.5055555555555555,0.18013580246913577,0.10039266050805515,0.1134439764445355,(0.10039266050805515  0.1134439764445355),[0.19  0.2  0.24  0.02  1.0  1.0  0.01  0.97  0.92],[0.22222222 0.33333333 0.         0.         0.         0. 0.44444444],"i haven't decided whether, whether i want  to play yet or not."
6353:63,0.7447368421052631,0.053603878116343484,2.7638322005809117,0.8726012948344981,(2.7638322005809117  0.8726012948344981),[0.74  0.73  0.91  0.83  0.9  0.72  0.98  0.99  1.0  0.6  0.5  0.71  0.02  0.41  0.74  0.73  0.91  0.83  0.9],[0.05263158 0.         0.05263158 0.05263158 0.10526316 0.36842105 0.36842105],"she said, now, do you all want him to go to a, a state college or a private college."
175450:86,0.44375,0.15904843749999997,1.2836446883752073,0.7674132845097423,(1.2836446883752073  0.7674132845097423),[0.29  0.95  0.03  0.0  0.07  0.01  0.8  0.99  0.89  0.79  0.99  0.01  0.1  0.02  0.54  0.62],[0.375  0.     0.0625 0.0625 0.0625 0.125  0.25  ],"and, and, but of course most time, most of the time management has a hard time distributing or getting the word out to the people who  must know."
70391:41,0.09000000000000001,0.009533333333333333,0.5538464067439126,2.000778843570812,(0.5538464067439126  2.000778843570812),[0.15  0.0  0.06  0.02  0.08  0.05  0.0  0.12  0.33],[0.55555556 0.11111111 0.11111111 0.         0.         0. 0.        ],"and there's a flash flood watch and, more rain for the next three or four days."
35761:57,0.5366666666666667,0.11604444444444445,0.42482860705023384,0.37001955747659665,(0.42482860705023384  0.37001955747659665),[0.25  0.87  0.06  0.32  0.61  1.0  0.85  0.09  0.78],[0.22222222 0.11111111 0.11111111 0.         0.11111111 0.22222222 0.22222222],"he said, you're going  to get a car that 's got flood damage or hail damage."
23676:18,0.35,0.11209473684210526,0.27359946146056385,0.36344773899471206,(0.27359946146056385  0.36344773899471206),[0.62  0.72  0.05  0.07  0.1  0.98  0.57  0.02  0.23  0.02  0.13  0.87  0.0  0.71  0.62  0.72  0.05  0.07  0.1],[0.47368421 0.05263158 0.         0.05263158 0.15789474 0.10526316 0.10526316],"you serve that yourself, or the, for a family."
45930:44,0.55,0.11079999999999998,0.7197241188356259,0.5482532764147956,(0.7197241188356259  0.5482532764147956),[0.55  0.99  0.54  0.01  0.76  0.85  0.1  0.87  0.28],[0.22222222 0.11111111 0.         0.22222222 0.         0.22222222 0.22222222],"i hadn't heard, you know, whether they have a new one or not."
139490:160,0.8055555555555555,0.039558024691358024,1.0393672445555258,0.39544691202263954,(1.0393672445555258  0.39544691202263954),[0.88  0.69  0.98  0.98  1.0  0.9  0.85  0.38  0.59],[0.         0.         0.11111111 0.         0.22222222 0.11111111 0.55555556],"now i've done it with, where you put, you cook the ri-, well, i guess you probably could do it same way, but cook the rice and then take a can of like cream of mushroom soup or cream of chicken soup, and put a little bit of white wine in it ."
105461:58,0.52,0.14857777777777778,1.275329752849368,0.4823045550298066,(1.275329752849368  0.4823045550298066),[0.07  0.74  0.32  0.03  0.77  0.8  0.01  0.96  0.98],[0.33333333 0.         0.11111111 0.         0.         0.33333333 0.22222222],"it wasn't like the newer ones that  have nice chambers that  keep it afloat or keep it, uh, upright again."
89756:75,0.6622222222222222,0.11028395061728395,0.27463682344575385,0.17521142592379235,(0.27463682344575385  0.17521142592379235),[0.82  1.0  0.15  0.62  0.98  0.29  0.94  0.22  0.94],[0.         0.22222222 0.11111111 0.         0.11111111 0.11111111 0.44444444],"i don't remember if he said it was sixty dollars a square foot, off the creek and eighty on the creek, or, if it was eighty and a hundred."
1502:41:00,0.4488888888888889,0.10567654320987656,0.10357544823656187,0.11673285770878697,(0.10357544823656187  0.11673285770878697),[0.13  0.1  0.21  0.3  0.75  0.81  0.08  0.85  0.81],[0.33333333 0.11111111 0.11111111 0.         0.         0.44444444 0.        ],"i would just take her the actual paperwork once, uh, every week or two,"
28388:46,0.32666666666666666,0.10093333333333333,0.2475456410063775,0.39983118701526366,(0.2475456410063775  0.39983118701526366),[0.0  0.14  0.76  0.2  0.63  0.0  0.27  0.07  0.87],[0.22222222 0.22222222 0.         0.         0.11111111 0.11111111 0.11111111],"not only do i do p c type things like, uh, using lotus or word processors,"
42077:97,0.5033333333333333,0.11802222222222222,0.24279037306485615,0.22496655072344723,(0.24279037306485615  0.22496655072344723),[0.64  0.67  0.19  0.88  0.05  0.88  0.2  0.92  0.1],[0.22222222 0.22222222 0.         0.         0.22222222 0. 0.33333333],"but gosh, you know, we're keeping, you know we're, we're keeping these men in prison for fifteen or twenty years on death row, and not doing anything with them,"
18522:67,0.6166666666666667,0.12666666666666668,1.0789687804752854,0.4067896256290494,(1.0789687804752854  0.4067896256290494),[0.13  0.32  0.09  0.91  0.86  0.39  0.97  1.0  0.88],[0.22222222 0.         0.22222222 0.         0.         0. 0.55555556],"they don't, they don't even start  growing until may, may or april, like after it's been raining for a few months."
170713:59,0.37222222222222223,0.13532839506172842,0.16072709387191988,0.2837894424262731,(0.16072709387191988  0.2837894424262731),[0.91  0.71  0.0  0.11  0.15  0.26  0.17  1.0  0.04],[0.22222222 0.33333333 0.         0.         0.11111111 0. 0.22222222],"do you know anyone that, uh,  is, is in a nursing home or has ever been in one."
155454:77,0.3277777777777777,0.0968172839506173,0.30484831719993344,0.47659735925062124,(0.30484831719993344  0.47659735925062124),[0.91  0.34  0.82  0.25  0.05  0.37  0.11  0.01  0.09],[0.44444444 0.11111111 0.22222222 0.         0.         0.11111111 0.11111111],"so that, that option sometimes is not available if they do not have the, uh, either medicare or insurance  to cover it."
59539:31,0.7033333333333333,0.0750888888888889,1.052163933089932,0.23208988974231573,(1.052163933089932  0.23208988974231573),[0.74  0.82  0.51  0.77  0.77  0.81  0.93  0.01  0.97],[0.11111111 0.         0.         0.11111111 0.         0.55555556 0.22222222],"like you said if you had four kids, or even if you had two kids, you would be paying all your salary  to pay for those two kids to go."
110971:62,0.3888888888888889,0.09949876543209875,0.3808993801287468,0.5408892471107647,(0.3808993801287468  0.5408892471107647),[0.15  0.24  0.01  0.36  0.92  0.05  0.27  0.75  0.75],[0.22222222 0.33333333 0.11111111 0.         0.         0.22222222 0.11111111],"i just, i find i have  to get the right kinds, though, or it's not comfortable."
1592:58:00,0.21555555555555558,0.06875802469135804,0.15338511762297546,0.4702564713445261,(0.15338511762297546  0.4702564713445261),[0.1  0.55  0.23  0.81  0.06  0.09  0.02  0.03  0.05],[0.66666667 0.11111111 0.         0.11111111 0.         0.11111111 0.        ],"so you don't have  to, you know, unless you're just really sick, or the child's sick."
114907:53,0.3088888888888889,0.10698765432098765,0.23687749442427145,0.4577755473703053,(0.23687749442427145  0.4577755473703053),[0.08  0.62  0.17  0.68  0.95  0.0  0.12  0.15  0.01],[0.33333333 0.22222222 0.         0.         0.22222222 0. 0.11111111],"but they never say who, who they're really working for  or what, you know, what what, what questions are, you know,"
169316:26,0.40111111111111114,0.0347432098765432,0.9816742224976451,0.8900375235744857,(0.9816742224976451  0.8900375235744857),[0.32  0.5  0.53  0.27  0.75  0.28  0.14  0.58  0.24],[0.11111111 0.33333333 0.11111111 0.22222222 0.11111111 0.11111111 0.        ],"and anything i participated in  or know about  when i read about it in the paper  is always so, uh, covered  from such a funny and superficial perspective that i don't have much confidence in it."
167164:56,0.6222222222222222,0.1174617283950617,0.24845596669961537,0.12353923215535453,(0.24845596669961537  0.12353923215535453),[0.86  0.15  0.87  0.0  0.86  0.93  0.74  0.88  0.31  0.86  0.15  0.87  0.0  0.86  0.93  0.74  0.88  0.31],[0.         0.11111111 0.11111111 0.         0.         0.11111111 0.55555556],"and, of course, now, you know, and you go through two or three hundred years of appeals process."
124658:85,0.2711111111111111,0.049498765432098774,0.6342456167836971,0.7019930394766392,(0.6342456167836971  0.7019930394766392),[0.05  0.08  0.62  0.16  0.28  0.36  0.65  0.0  0.24],[0.22222222 0.33333333 0.11111111 0.         0.22222222 0. 0.        ],"it 's hard to put the finger on, uh, what 's worse, you know, the acid rain situation or the ozone depletion, um, with, uh, your hydrocarbons, uh causing the damage in which,"
14163:45,0.5594736842105263,0.10093130193905818,0.7016709743286009,0.6091398204696867,(0.7016709743286009  0.6091398204696867),[0.53  0.43  1.0  0.11  0.83  0.81  0.72  0.08  0.23  0.23  0.9  0.25  1.0  0.61  0.53  0.43  1.0  0.11  0.83],[0.15789474 0.15789474 0.         0.21052632 0.05263158 0.21052632 0.21052632],"they're, maybe they're a little more efficient, or have more to do  over that same time frame."
886:75,0.5944444444444444,0.10178024691358024,1.0064563521026137,0.6005612990763993,(1.0064563521026137  0.6005612990763993),[0.82  0.61  0.62  0.23  0.34  0.99  0.82  0.0  0.92],[0.         0.11111111 0.11111111 0.         0.22222222 0.22222222 0.22222222],"uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way  to just hang up on it  ."
89290:20,0.2588888888888889,0.06287654320987654,0.8690181503919208,0.7504450041241211,(0.8690181503919208  0.7504450041241211),[0.01  0.5  0.08  0.01  0.14  0.28  0.14  0.35  0.82],[0.55555556 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.        ],"see i went about two or three weeks ago and saw f x two."
156117:69,0.5255555555555556,0.14386913580246913,0.5576183521123698,0.41816444433728817,(0.5576183521123698  0.41816444433728817),[0.59  0.99  0.62  0.97  0.02  0.92  0.1  0.0  0.52],[0.22222222 0.         0.         0.11111111 0.22222222 0. 0.33333333],"i mean, it, it definitely it's not at a level comparable to los angeles or denver."
165157:25,0.3744444444444444,0.08540246913580246,0.7832947172103182,3.8460474232867865,(0.7832947172103182  3.8460474232867865),[0.32  0.4  0.06  0.46  0.62  0.02  0.4  1.0  0.09],[0.33333333 0.         0.33333333 0.11111111 0.11111111 0. 0.11111111],"they issued a recall because of improper shielding or possibly other problems with floppy drive."
54571:48,0.4166666666666667,0.1405111111111111,0.2642380618109694,0.338677158311919,(0.2642380618109694  0.338677158311919),[0.87  0.5  0.06  0.07  0.1  0.0  0.31  1.0  0.84],[0.33333333 0.         0.11111111 0.11111111 0.         0.11111111 0.22222222],"a lot of things we try  to catch  like at the dollar theater or matinees."
3053:66,0.6366666666666667,0.03811111111111111,0.8608156302802703,0.9170216710894602,(0.8608156302802703  0.9170216710894602),[0.75  0.9  0.56  0.58  0.56  0.54  0.99  0.53  0.32],[0.         0.         0.11111111 0.44444444 0.11111111 0.11111111 0.22222222],"i'm sure you have a representative somewhere in the area. if just nothing more than a business representative or government services representative,"
155051:35,0.3055555555555556,0.09211358024691357,0.15584769367567475,0.39726087002979305,(0.15584769367567475  0.39726087002979305),[0.08  0.72  0.13  0.11  0.06  0.17  0.07  0.5  0.91],[0.55555556 0.11111111 0.         0.11111111 0.         0.11111111 0.11111111],"well, how to you handle that, the long range or medium range planning on finances ."
31347:55,0.7588888888888887,0.10894320987654321,0.17515355532348945,0.057523009277318224,(0.17515355532348945  0.057523009277318224),[0.97  1.0  0.91  0.13  1.0  0.89  0.98  0.77  0.18],[0.11111111 0.11111111 0.         0.         0.         0.11111111 0.66666667],"well, my stepson, you know, i, he went into the navy or air force."
75697:37,0.29333333333333333,0.11226666666666668,0.23649315652859532,0.4869691622885558,(0.23649315652859532  0.4869691622885558),[0.0  0.4  0.0  0.15  0.28  0.81  0.02  0.05  0.93],[0.22222222 0.22222222 0.11111111 0.         0.         0.11111111 0.11111111],"and since that time everybody's got some sort of burglar system or, you know, uh, burglar alarms uh, and including the out, uh, the outer perimeter type, uh, devices, sensors and things like that."
116776:42,0.8588888888888888,0.041765432098765425,2.5844953803746504,0.6508060757043648,(2.5844953803746504  0.6508060757043648),[0.6  0.97  0.82  1.0  1.0  1.0  0.97  0.4  0.97],[0.         0.         0.11111111 0.         0.11111111 0.11111111 0.66666667],"i, i mean i could have had that or a down payment on a new car."
174875:45,0.588888888888889,0.13036543209876542,0.6762784452829413,0.3991141507376178,(0.6762784452829413  0.3991141507376178),[0.98  0.89  0.66  0.36  0.79  0.02  0.99  0.61  0.0],[0.11111111 0.         0.11111111 0.         0.22222222 0.11111111 0.33333333],"then do they give you like one ch-, one more chance or two more chances."
139294:19,0.548888888888889,0.0849432098765432,1.3464687725871682,0.8063242686907455,(1.3464687725871682  0.8063242686907455),[0.37  0.0  0.55  0.85  0.68  0.88  0.88  0.5  0.23],[0.         0.11111111 0.11111111 0.22222222 0.11111111 0.11111111 0.22222222],"i was just probably three or four years,"
111626:16,0.8688888888888889,0.05836543209876545,0.21154878903338037,0.03144830074527566,(0.21154878903338037  0.03144830074527566),[0.98  0.95  0.95  0.89  0.2  1.0  1.0  1.0  0.85],[0.         0.11111111 0.         0.         0.         0.11111111 0.77777778],"she's about seven or eight years old."
72646:93,0.4077777777777778,0.16950617283950614,1.3839289644236268,0.9316077765160331,(1.3839289644236268  0.9316077765160331),[0.84  0.64  0.08  0.12  0.94  0.0  0.0  1.0  0.05],[0.33333333 0.         0.         0.         0.11111111 0.11111111 0.22222222],"i let papers, newspapers stack up and magazines stack up, if i don't really set aside a time to look or read them ."
67780:27,0.39210526315789473,0.10309030470914127,0.4413309058312046,0.8577306951429322,(0.4413309058312046  0.8577306951429322),[0.59  0.93  0.03  0.07  0.29  0.75  0.1  0.97  0.07  0.63  0.37  0.1  0.38  0.26  0.59  0.93  0.03  0.07  0.29],[0.36842105 0.05263158 0.21052632 0.         0.15789474 0.05263158 0.15789474],"and the dog was being house sit , or dog sit , whatever, by some friends of mine down the street,"
8419:45:00,0.4488888888888889,0.0791432098765432,0.8790113838351425,0.7571905228212692,(0.8790113838351425  0.7571905228212692),[0.87  0.31  0.25  0.57  0.73  0.64  0.01  0.58  0.08],[0.22222222 0.11111111 0.11111111 0.11111111 0.22222222 0.11111111 0.11111111],"well, have you any plans to, uh, maybe, uh, expand or move onward."
105467:18,0.24444444444444446,0.10004691358024692,0.1288354030452446,0.33620796267584385,(0.1288354030452446  0.33620796267584385),[0.03  0.14  0.9  0.0  0.28  0.1  0.03  0.72  0.0],[0.44444444 0.11111111 0.         0.         0.         0.11111111 0.11111111],"and, uh, the storm or the wind was due to the front blowing"
13311:70,0.8011111111111111,0.1070320987654321,0.16611861885817047,0.04673629267656923,(0.16611861885817047  0.04673629267656923),[0.89  1.0  0.09  0.95  0.98  1.0  0.99  0.31  1.0],[0.11111111 0.         0.11111111 0.         0.         0. 0.77777778],"if there was, if there was mandatory, you could choose the option of either a mandatory military service or voluntary,"
104342:42,0.4566666666666667,0.08728888888888889,0.3802917774765066,0.5110117245079395,(0.3802917774765066  0.5110117245079395),[0.82  0.05  0.49  0.29  0.34  0.88  0.83  0.19  0.22  0.82  0.05  0.49  0.29  0.34  0.88  0.83  0.19  0.22],[0.11111111 0.22222222 0.22222222 0.11111111 0.         0.22222222 0.11111111],"and i couldn't tell whether some parts of town had started it or if it was just everybody was, was waiting for the delivery of whatever those containers were ."
48916:100,0.44555555555555554,0.12093580246913582,1.456977828632747,0.6413095227063812,(1.456977828632747  0.6413095227063812),[0.71  0.06  0.87  0.99  0.22  0.09  0.71  0.13  0.23  0.71  0.06  0.87  0.99  0.22  0.09  0.71  0.13  0.23],[0.33333333 0.22222222 0.         0.         0.22222222 0. 0.22222222],"and that's where a lot of aggravation comes , i think, is, is, uh, these guys spend so much time in the appeal process or just in the waiting process,"
113845:53,0.48157894736842116,0.09981329639889197,0.7236427909033658,0.5743924356582792,(0.7236427909033658  0.5743924356582792),[0.51  0.73  0.86  0.05  0.71  0.44  0.62  0.98  0.04  0.65  0.49  0.13  0.01  0.07  0.51  0.73  0.86  0.05  0.71],[0.31578947 0.         0.         0.21052632 0.21052632 0.10526316 0.15789474],"the biggest, you know, the biggest outlaid expense has always been either wars or defense."
60448:27,0.5733333333333334,0.16335555555555556,1.4830242586816058,0.4307473627450114,(1.4830242586816058  0.4307473627450114),[0.23  0.98  0.01  0.03  0.31  0.99  0.66  0.95  1.0],[0.22222222 0.11111111 0.11111111 0.         0.11111111 0. 0.44444444],"and she would sit like on my neck or my shoulder while i was working, and things like that. yeah, much more than you would think."
157597:36,0.7022222222222223,0.1342617283950617,0.2753477124929611,0.1004869888222758,(0.2753477124929611  0.1004869888222758),[0.93  0.89  1.0  0.73  0.95  0.08  1.0  0.0  0.74],[0.11111111 0.         0.         0.         0.         0.22222222 0.55555556],"and we do sit down at the beginning of every month or the end of every month and write down how much we know we're going  to spend  and set that money aside,"
66676:23,0.18444444444444447,0.03895802469135803,0.643111183764056,1.7609621130068551,(0.643111183764056  1.7609621130068551),[0.15  0.0  0.07  0.34  0.64  0.29  0.02  0.01  0.14],[0.44444444 0.11111111 0.22222222 0.         0.11111111 0. 0.        ],"now whether they finally got it or not, i don't know ."
84467:25,0.5566666666666666,0.1441111111111111,1.525306525741357,0.5370817818836806,(1.525306525741357  0.5370817818836806),[0.18  0.69  0.92  0.39  0.0  0.92  0.05  0.94  0.92],[0.11111111 0.11111111 0.11111111 0.         0.11111111 0. 0.44444444],"and is sold  as purple buddy or sometimes sold  as straw flower."
20456:39,0.4555555555555555,0.1504246913580247,0.3963601243598738,0.44875240651416926,(0.3963601243598738  0.44875240651416926),[0.03  1.0  0.02  0.19  0.66  0.0  0.99  0.47  0.74],[0.22222222 0.11111111 0.         0.11111111 0.11111111 0.11111111 0.22222222],"my parents, uh, bought a home in san diego about four or five years ago,"
168510:23,0.4911111111111111,0.17194320987654318,0.1805392975946748,0.17557324517391792,(0.1805392975946748  0.17557324517391792),[0.28  1.0  0.0  0.0  0.3  0.93  0.08  0.96  0.87],[0.11111111 0.11111111 0.11111111 0.         0.         0. 0.44444444],"they don't execute anybody in britain or france."
170074:84,0.68,0.08526666666666666,0.9237440213092007,0.5232634416484948,(0.9237440213092007  0.5232634416484948),[0.79  1.0  0.48  0.8  0.33  0.96  0.62  1.0  0.14],[0.11111111 0.         0.11111111 0.11111111 0.11111111 0.22222222 0.33333333],"and it, that i, i don't know if i ever went as far as three months  or not i-, i-, in  keeping that kind of data."
152622:62,0.30000000000000004,0.09317777777777779,0.27524599713898057,0.3658829119296775,(0.27524599713898057  0.3658829119296775),[0.82  0.09  0.62  0.0  0.0  0.0  0.51  0.56  0.1],[0.22222222 0.         0.         0.22222222 0.11111111 0.11111111 0.        ],"uh, my, my opinion of taxes is that we just send money to washington or to the state and they say they are going  to send some back,"
97501:39,0.2933333333333333,0.14444444444444443,0.058370341032900265,0.16075535961274667,(0.058370341032900265  0.16075535961274667),[0.15  0.99  0.14  0.26  0.02  0.06  0.99  0.01  0.02],[0.55555556 0.22222222 0.         0.         0.         0. 0.22222222],"and i think every woman ought  to deal with it or, ought  to at least be exposed  to it,"
175063:135,0.4511111111111112,0.1321432098765432,0.3743568907876935,0.39208915921928256,(0.3743568907876935  0.39208915921928256),[0.12  0.97  0.88  0.53  0.04  0.17  0.49  0.0  0.86],[0.22222222 0.11111111 0.         0.22222222 0.         0. 0.33333333],"and when you have two kids in that class that  constantly keeps ca-, the class in an uproar and you're not at liberty  to do something about it, other than give them on campus isolation or send them to the principal's office . it it, you know, it can, it can really be bad."
98949:15,0.8411111111111111,0.07040987654320988,0.42313677310547704,0.09201863426852287,(0.42313677310547704  0.09201863426852287),[0.91  0.6  0.97  1.0  0.17  0.98  0.99  1.0  0.95],[0.         0.11111111 0.         0.         0.11111111 0. 0.77777778],"they can find guilt or innocence."
